feature,importance
cum_vol_pct,1093
std_48,866
intraday_range_pct,796
intraday_range,662
ema_cross_12_48,584
minutes_from_open,533
ret_since_open,495
dist_from_day_low,446
dist_from_day_high,376
time_sin,341
std_24,334
close_vs_day_open,306
sma_cross_12_48,263
close_sma_ratio_24,255
day_of_week,219
month,207
time_of_day,204
log_ret_since_open,199
atr_24,194
tick_ratio_ma_12,180
sma_cross_6_24,175
close_sma_ratio_12,161
sma_48,157
week_of_month,150
macd_signal,147
month_cos,146
std_12,142
time_cos,137
bb_lower,135
tick_diff_ma_12,133
dow_cos,132
macd_hist,124
rsi_48,120
intraday_position,120
close_sma_ratio_48,120
is_opex,114
is_quad_witching,107
bb_position,103
price_vol_corr_24,98
dow_sin,97
momentum_1,94
is_month_start,94
day_low,92
day_high,90
std_6,83
tick_diff_ma_6,81
ema_cross_6_24,79
month_sin,75
ema_48,73
return_12bar,73
momentum_3,72
bb_width,71
is_midweek,68
vwap_24,68
hour,66
bb_upper,65
is_quarter_end,65
atr_12,64
high_low_ratio,59
close_sma_ratio_6,55
is_month_end,54
return_6bar,52
rsi_24,51
return_1bar,49
tick_ratio_ma_6,48
price_vol_corr_12,48
ema_24,48
macd,48
vwap_12,47
ema_12,46
rsi_12,45
is_quarter_start,43
range_pct,41
tick_ratio,40
close_position,38
bb_middle,36
tick_diff,36
atr_6,33
rsi_6,30
hour_14,30
ema_6,30
log_return_12bar,27
is_friday,24
log_return_1bar,21
gap,21
sma_24,20
downticks,20
quarter,19
return_3bar,19
sma_6,18
hour_10,18
is_midday,17
vwap_6,17
momentum_6,17
open_position,16
log_return_6bar,16
momentum_12,15
roc_6,13
log_return_3bar,13
roc_1,12
is_monday,11
roc_12,10
is_opening,7
sma_12,7
vol_ratio_24,6
upticks,5
hour_15,5
roc_3,5
hour_11,4
vol_ratio_12,2
is_fomc_day,0
is_gdp_day,0
is_nfp_day,0
is_cpi_day,0
minute,0
is_close_bar,0
is_pre_holiday,0
is_post_holiday,0
vol_ratio_6,0
vol_change,0
tick_momentum_6,0
tick_momentum_12,0
is_closing,0
is_major_econ_day,0
